GeneSymbol	Chromosome	Strand	txStarts	txEnds	MappingID	TotalMappingNumber	AbnormalMerge	OverlapWith
DDX11L1	CHR1	+	1736	4272	1	1	N	
WASH7P	CHR1	-	4224	19233	1	1	N	
FAM138A	CHR1	-	24473	25944	1	1	N	
OR4F5	CHR1	+	58953	59871	1	1	N	
LOC729737	CHR1	-	124635	130429	1	1	N	
LOC100132287	CHR1	+	313754	318444	1	1	N	
OR4F29	CHR1	+	357521	358460	1	1	N	
OR4F16	CHR1	-	610958	611897	1	1	N	
LOC100133331	CHR1	-	651001	655594	1	1	N	
LOC100288069	CHR1	-	690107	703931	1	1	N	
LINC00115	CHR1	-	751448	752765	1	1	N	
LOC643837	CHR1	+	752833	784689	1	1	N	
FAM41C	CHR1	-	793313	802045	1	1	N	
LOC100130417	CHR1	-	842815	844680	1	1	N	
SAMD11	CHR1	+	850983	869824	1	1	N	
NOC2L	CHR1	-	869445	884542	1	1	N	
KLHL17	CHR1	+	885829	890962	1	1	N	
PLEKHN1	CHR1	+	891739	900347	1	1	N	
C1orf170	CHR1	-	900441	907336	1	1	N	
HES4	CHR1	-	924204	925415	1	1	N	
ISG15	CHR1	+	938709	939782	1	1	N	
AGRN	CHR1	+	945365	981362	1	1	N	
RNF223	CHR1	-	996988	999550	1	1	N	
C1orf159	CHR1	-	1007060	1041599	1	1	N	
LOC254099	CHR1	+	1062259	1069297	1	1	N	
MIR200B	CHR1	+	1092346	1092441	1	1	N	
MIR200A	CHR1	+	1093105	1093195	1	1	N	
MIR429	CHR1	+	1094247	1094330	1	1	N	
TTLL10	CHR1	+	1099148	1123176	1	1	N	
TNFRSF18	CHR1	-	1128750	1131952	1	1	N	
TNFRSF4	CHR1	-	1136568	1139411	1	1	N	
SDF4	CHR1	-	1142150	1157310	1	1	N	
B3GALT6	CHR1	+	1157491	1160283	1	1	N	
FAM132A	CHR1	-	1167688	1171965	1	1	N	
UBE2J2	CHR1	-	1179154	1199097	1	1	N	
SCNN1D	CHR1	+	1205678	1217272	1	1	N	
ACAP3	CHR1	-	1217626	1233132	1	1	N	
PUSL1	CHR1	+	1233856	1236920	1	1	N	
CPSF3L	CHR1	-	1236827	1249930	1	1	N	
GLTPD1	CHR1	+	1250005	1254139	1	1	N	
TAS1R3	CHR1	+	1256588	1259707	1	1	N	
DVL1	CHR1	-	1260520	1274355	1	1	N	
MXRA8	CHR1	-	1277933	1283778	1	1	N	
AURKAIP1	CHR1	-	1298972	1300681	1	1	N	
CCNL2	CHR1	-	1310953	1324581	1	1	N	
LOC148413	CHR1	+	1324772	1327289	1	1	N	
MRPL20	CHR1	-	1327138	1332556	1	1	N	
ANKRD65	CHR1	-	1343662	1346687	1	1	N	
TMEM88B	CHR1	+	1351370	1353030	1	1	N	
VWA1	CHR1	+	1360765	1368125	1	1	N	
ATAD3C	CHR1	+	1374931	1395401	1	1	N	
ATAD3B	CHR1	+	1397026	1421445	1	1	N	
ATAD3A	CHR1	+	1437385	1459930	1	1	N	
TMEM240	CHR1	-	1460020	1465603	1	1	N	
SSU72	CHR1	-	1466915	1500125	1	1	N	
C1orf233	CHR1	-	1523250	1525339	1	1	N	
MIB2	CHR1	+	1540657	1555853	1	1	N	
MMP23B	CHR1	+	1557422	1559893	1	1	N	MMP23A CHR1 + 1558021 1623107;
MMP23A	CHR1	+	1558021	1623107	1	1	Y	MMP23B CHR1 + 1557422 1559893;
CDK11B	CHR1	-	1560962	1645635	1	1	N	CDK11A CHR1 - 1624029 1645651;SLC35E2B CHR1 - 1582801 1614103;
SLC35E2B	CHR1	-	1582801	1614103	1	1	N	CDK11B CHR1 - 1560962 1645635;
CDK11A	CHR1	-	1624029	1645651	1	1	N	CDK11B CHR1 - 1560962 1645635;
SLC35E2	CHR1	-	1646136	1667298	1	1	N	
NADK	CHR1	-	1672530	1701368	1	1	N	
GNB1	CHR1	-	1706584	1812386	1	1	N	
CALML6	CHR1	+	1836125	1838593	1	1	N	
TMEM52	CHR1	-	1838888	1840600	1	1	N	
KIAA1751	CHR1	-	1874611	1925136	1	1	N	
GABRD	CHR1	+	1940627	1952052	1	1	N	
PRKCZ	CHR1	+	1971768	2106694	1	1	N	
C1orf86	CHR1	-	2105758	2134019	1	1	N	
SKI	CHR1	+	2149993	2231512	1	1	N	
MORN1	CHR1	-	2242555	2312853	1	1	N	LOC100129534 CHR1 - 2271713 2273960;
LOC100129534	CHR1	-	2271713	2273960	1	1	N	MORN1 CHR1 - 2242555 2312853;
RER1	CHR1	+	2313073	2326743	1	1	N	
PEX10	CHR1	-	2326100	2333870	1	1	N	
PLCH2	CHR1	+	2397613	2426824	1	1	N	
PANK4	CHR1	-	2429834	2447895	1	1	N	
HES5	CHR1	-	2450043	2451544	1	1	N	
LOC115110	CHR1	-	2471218	2474144	1	1	N	
TNFRSF14	CHR1	-	2479150	2486613	1	1	N	
LOC100133445	CHR1	+	2485967	2487210	1	1	N	
FAM213B	CHR1	+	2507758	2512768	1	1	N	
